date,close,volume,high,low,open
2015-07-09,120.07,78291510.0000,124.06,119.22,121.94
2015-07-08,122.57,60609830.0000,124.64,122.54,123.85
2015-07-07,125.69,46737090.0000,126.15,123.77,124.48
2015-07-06,126.0,27972950.0000,126.23,124.85,125.89
2015-07-02,126.44,27171180.0000,126.69,125.77,124.94
2015-07-01,126.6,30206890.0000,126.94,125.99,126.43
2015-06-30,125.425,44326050.0000,126.12,124.86,126.9
2015-06-29,124.53,49043410.0000,126.47,124.48,125.57
2015-06-26,126.75,43986290.0000,127.99,126.51,125.46
2015-06-25,127.5,31872390.0000,129.2,127.5,127.67
2015-06-24,128.11,55077520.0000,129.8,127.12,128.86
2015-06-23,127.03,30192140.0000,127.61,126.8792,127.21
2015-06-22,127.61,33976180.0000,128.06,127.08,127.48
2015-06-19,126.6,54361530.0000,127.82,126.4,127.49
2015-06-18,127.88,35363990.0000,128.31,127.22,127.71
2015-06-17,127.3,32858900.0000,127.88,126.74,127.23
2015-06-16,127.6,31443650.0000,127.85,126.37,127.72
2015-06-15,126.92,43896960.0000,127.24,125.71,127.03
2015-06-12,127.17,36826260.0000,128.33,127.11,126.1
2015-06-11,128.59,35344520.0000,130.18,128.475,128.185
2015-06-10,128.88,39029190.0000,129.34,127.85,129.18
2015-06-09,127.42,56002840.0000,128.08,125.62,127.92
2015-06-08,127.8,52609900.0000,129.21,126.83,126.7
2015-06-05,128.65,35577760.0000,129.69,128.36,128.9
2015-06-04,129.36,38335980.0000,130.58,128.91,129.5
2015-06-03,130.12,30939810.0000,130.94,129.9,129.58
2015-06-02,129.96,33595980.0000,130.655,129.32,130.66
2015-06-01,130.535,32016020.0000,131.39,130.05,129.86
2015-05-29,130.28,50474170.0000,131.45,129.9,131.2
2015-05-28,131.78,30678840.0000,131.95,131.1,131.23
2015-05-27,132.045,45771120.0000,132.26,130.05,131.86
2015-05-26,129.62,70544670.0000,132.91,129.12,130.34
2015-05-22,132.54,45469340.0000,132.97,131.4,132.6
2015-05-21,131.39,39589780.0000,131.63,129.83,131.6
